iteration,id,juris,workflow,status,name,global,entity_types
10,60fac7c9a50e740950350e01,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Revival'],pdf,REG3060_Articles of Revival,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
11,60fac7f8b2cc6409573551a6,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Merge / Amalgamate'],pdf,REG3068_Articles of Amalgamation,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
12,60fac7feb2cc6409573551a8,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Amendments'],pdf,REG3067_Restated Articles of Incorporation,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
13,60fac80eb2cc6409573551ab,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Change of principals'],pdf,REG3220_Notice of Change of Address of Director(s),True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
14,60fac814b2cc6409573551ad,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]","['Registration Compliance', 'Change of Agents']",pdf,REG3056_Notice of Address Change for Agent for Service,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
15,60fac827a50e740950350e1c,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Registration Compliance'],pdf,REG3055 Statement of Extra-Provincial Registration,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
16,60fac839a50e740950350e1e,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Registration Compliance'],pdf,REG3071 Notice of Change of Extra-Provincial Corporation Head Office,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
17,60fac860b2cc6409573551b1,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Registration Compliance'],pdf,REG3074 Notice of Extra-Provincial Corporation Adoption Change Cancellation of Assumed Name,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
18,60fac892b2cc6409573551ba,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Annual Compliance'],pdf,REG3185_Annual Return (Society),True,"['Corporation', 'Society']"
19,60fac90ea50e740950350e63,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Formation'],pdf,Form 1 - Incorporation Application,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
20,60fac916b2cc6409573551f1,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Formation'],pdf,Form 1U - Incorporation Application,True,"['Unlimited Liability Company', 'Unlimited Liability Corporation']"
21,60fac926a50e740950350e66,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]","['Formation', 'Change of Address', 'Change of Shared Address', 'Change of Profile Address']",pdf,Form 3 - 4 - 5 Change of Registered Office,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
22,60fac92ca50e740950350e68,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Annual Compliance'],pdf,Form 6 - Annual Report,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
23,60fac933a50e740950350e6c,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Change of principals'],pdf,Form 10 - Director Change,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
24,60fac93ca50e740950350e75,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Amendments'],pdf,Form 11 - Alteration Notice,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
25,60fac9e0b2cc64095735522f,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]","['Amendments', 'Change of Company Name']",pdf,Form 11U - Notice of Alteration,True,"['Association', 'Co-Operative', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Joint Venture', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
26,60fac9f7a50e740950350eae,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Amendments'],pdf,Form 12 - Conversion Application,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
27,60fac9fcb2cc640957355239,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Merge / Amalgamate'],pdf,Form 13 - Amalgamation Application,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
28,60faca03b2cc64095735523b,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Merge / Amalgamate'],pdf,Form 13U - Amalgamation Application,True,"['Unlimited Liability Company', 'Unlimited Liability Corporation']"
29,60faca0aa50e740950350eb4,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Merge / Amalgamate'],pdf,Form 14 - Amalgamation Application - Short Form,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
30,60faca10a50e740950350eb6,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Merge / Amalgamate'],pdf,Form 14U - Amalgamation Application - Short Form,True,"['Unlimited Liability Company', 'Unlimited Liability Corporation']"
31,60faca16a50e740950350eba,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Merge / Amalgamate'],pdf,Form 15 - Amalgamation into Foreign Jurisdiction,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
32,60faca1eb2cc64095735523f,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Continuance'],pdf,Form 16 - Continuation Application and Business Number Request,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
33,60faca30b2cc64095735524a,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Continuance'],pdf,Form 16U - Continuation Application and Business Number Request,True,"['Unlimited Liability Company', 'Unlimited Liability Corporation']"
34,60faca35b2cc64095735524d,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Dissolve'],pdf,Form 17 - Dissolution Request,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
35,60faca3bb2cc640957355251,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Dissolve'],pdf,Form 17U - Dissolution Request,True,"['Unlimited Liability Company', 'Unlimited Liability Corporation']"
36,60faca4db2cc64095735525c,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Registration Compliance'],pdf,Form 20 - EP Notice of Withdrawal,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
37,60faca53b2cc64095735525e,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Dissolve'],pdf,Form 25 - Application for (Liquidation) Dissolution,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
38,60faca59b2cc640957355261,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Dissolve'],pdf,Form 25U - Dissolution by Liquidation,True,"['Unlimited Liability Company', 'Unlimited Liability Corporation']"
39,60faca5fb2cc640957355264,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Dissolve'],pdf,Form 27 - Dissolved Company Records Change,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
40,60faca69a50e740950350edf,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Revival'],pdf,"Form 28 - Restoration Application, Limited Restoration",True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
41,60faca70a50e740950350ee3,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Revival'],pdf,"Form 28U - Restoration Application, Limited Restoration",True,"['Unlimited Liability Company', 'Unlimited Liability Corporation']"
42,60faca76a50e740950350ee7,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Registration Compliance'],pdf,Form 29 - Limited Reinstatement Application (EP),True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
43,60faca7fb2cc64095735527c,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Revival'],pdf,"Form 30 - Restoration Application, Full Restoration",True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust']"
44,60faca94a50e740950350eed,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Registration Compliance'],pdf,Form 33 - Registration Statement (EP),True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
45,60faca9ea50e740950350ef0,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Registration Compliance'],pdf,Form 34 - Notice of Amalgamation (EP),True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
46,60facaa4a50e740950350ef2,"[{'country': 'Canada', 'name': 'British Columbia - Canada', 'region': 'British Columbia'}]",['Registration Compliance'],pdf,Form 35 - Annual Report (EP),True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
